high,low,open,source,symbol,timestamp,value,volume,percent_change
200.05,194.6796,197.72,alpha_vantage,AAPL,2025-05-08T00:00:00+00:00,197.49,50478872,
200.5399,197.535,199.0,alpha_vantage,AAPL,2025-05-09T00:00:00+00:00,198.53,36453923,0.005266089422249187
211.2679,206.75,210.97,alpha_vantage,AAPL,2025-05-12T00:00:00+00:00,210.79,63775814,0.06175389109958188
213.4,209.0,210.43,alpha_vantage,AAPL,2025-05-13T00:00:00+00:00,212.93,51909332,0.010152284263959461
213.94,210.5801,212.43,alpha_vantage,AAPL,2025-05-14T00:00:00+00:00,212.33,49325825,-0.0028178274550321432
212.96,209.54,210.95,alpha_vantage,AAPL,2025-05-15T00:00:00+00:00,211.45,45029473,-0.004144492064239739
212.57,209.77,212.36,alpha_vantage,AAPL,2025-05-16T00:00:00+00:00,211.26,54737850,-0.0008985575786237774
209.48,204.26,207.91,alpha_vantage,AAPL,2025-05-19T00:00:00+00:00,208.78,46140527,-0.011739089273880478
208.47,205.03,207.67,alpha_vantage,AAPL,2025-05-20T00:00:00+00:00,206.86,42496635,-0.00919628316888585
207.04,200.71,205.17,alpha_vantage,AAPL,2025-05-21T00:00:00+00:00,202.09,59211774,-0.023059073769699363
202.75,199.7,200.71,alpha_vantage,AAPL,2025-05-22T00:00:00+00:00,201.36,46742407,-0.0036122519669453696
197.7,193.46,193.665,alpha_vantage,AAPL,2025-05-23T00:00:00+00:00,195.27,78432918,-0.030244338498212172
200.74,197.43,198.3,alpha_vantage,AAPL,2025-05-27T00:00:00+00:00,200.21,56288475,0.025298304911148654
202.73,199.9,200.59,alpha_vantage,AAPL,2025-05-28T00:00:00+00:00,200.42,45339678,0.0010488986564106664
203.81,198.51,203.575,alpha_vantage,AAPL,2025-05-29T00:00:00+00:00,199.95,51477938,-0.0023450753417822517
201.96,196.78,199.37,alpha_vantage,AAPL,2025-05-30T00:00:00+00:00,200.85,70819942,0.004501125281320358
202.13,200.12,200.28,alpha_vantage,AAPL,2025-06-02T00:00:00+00:00,201.7,35423294,0.004232013940751777
203.77,200.955,201.35,alpha_vantage,AAPL,2025-06-03T00:00:00+00:00,203.27,46381567,0.007783837382250975
206.24,202.1,202.91,alpha_vantage,AAPL,2025-06-04T00:00:00+00:00,202.82,43603985,-0.0022138042996999903
204.75,200.15,203.5,alpha_vantage,AAPL,2025-06-05T00:00:00+00:00,200.63,55221235,-0.010797751701015669
205.7,202.05,203.0,alpha_vantage,AAPL,2025-06-06T00:00:00+00:00,203.92,46607693,0.016398345212580333
206.0,200.02,204.39,alpha_vantage,AAPL,2025-06-09T00:00:00+00:00,201.45,72862557,-0.01211259317379364
204.35,200.57,200.6,alpha_vantage,AAPL,2025-06-10T00:00:00+00:00,202.67,54672608,0.006056093323405306
204.5,198.41,203.5,alpha_vantage,AAPL,2025-06-11T00:00:00+00:00,198.78,60989857,-0.019193763260472622
199.68,197.3601,199.08,alpha_vantage,AAPL,2025-06-12T00:00:00+00:00,199.2,43904635,0.002112888620585509
200.37,195.7,199.73,alpha_vantage,AAPL,2025-06-13T00:00:00+00:00,196.45,51447349,-0.013805220883534136
198.685,196.5636,197.3,alpha_vantage,AAPL,2025-06-16T00:00:00+00:00,198.42,43020691,0.010027996945787727
198.39,195.21,197.2,alpha_vantage,AAPL,2025-06-17T00:00:00+00:00,195.64,38856152,-0.014010684406813835
197.57,195.07,195.94,alpha_vantage,AAPL,2025-06-18T00:00:00+00:00,196.58,45394689,0.004804743406256523
201.7,196.855,198.235,alpha_vantage,AAPL,2025-06-20T00:00:00+00:00,201.0,96813542,0.022484484688167602
202.3,198.96,201.625,alpha_vantage,AAPL,2025-06-23T00:00:00+00:00,201.5,55814272,0.0024875621890547263
203.44,200.2,202.59,alpha_vantage,AAPL,2025-06-24T00:00:00+00:00,200.3,54064033,-0.005955334987592996
203.67,200.6201,201.45,alpha_vantage,AAPL,2025-06-25T00:00:00+00:00,201.56,39525730,0.0062905641537693005
202.64,199.46,201.43,alpha_vantage,AAPL,2025-06-26T00:00:00+00:00,201.0,50799121,-0.0027783290335384116
203.22,200.0,201.89,alpha_vantage,AAPL,2025-06-27T00:00:00+00:00,201.08,73188571,0.00039800995024881844
207.39,199.2607,202.01,alpha_vantage,AAPL,2025-06-30T00:00:00+00:00,205.17,91912816,0.02034016311915643
210.1865,206.1401,206.665,alpha_vantage,AAPL,2025-07-01T00:00:00+00:00,207.82,78788867,0.012916118340888072
213.34,208.14,208.91,alpha_vantage,AAPL,2025-07-02T00:00:00+00:00,212.44,67941811,0.022230776633625274
214.65,211.8101,212.145,alpha_vantage,AAPL,2025-07-03T00:00:00+00:00,213.55,34955836,0.0052250047072115125
216.23,208.8,212.68,alpha_vantage,AAPL,2025-07-07T00:00:00+00:00,209.95,50228984,-0.016857878716928225
211.43,208.45,210.1,alpha_vantage,AAPL,2025-07-08T00:00:00+00:00,210.01,42848928,0.0002857823291259932
211.33,207.22,209.53,alpha_vantage,AAPL,2025-07-09T00:00:00+00:00,211.14,48749367,0.00538069615732582
213.48,210.03,210.505,alpha_vantage,AAPL,2025-07-10T00:00:00+00:00,212.41,44443635,0.0060149663730226875
212.13,209.86,210.565,alpha_vantage,AAPL,2025-07-11T00:00:00+00:00,211.16,39765812,-0.0058848453462643
210.91,207.54,209.925,alpha_vantage,AAPL,2025-07-14T00:00:00+00:00,208.62,38840111,-0.01202879333207043
211.89,208.92,209.22,alpha_vantage,AAPL,2025-07-15T00:00:00+00:00,209.11,42296339,0.0023487680951011845
212.4,208.64,210.295,alpha_vantage,AAPL,2025-07-16T00:00:00+00:00,210.16,47490532,0.005021280665678269
211.8,209.59,210.57,alpha_vantage,AAPL,2025-07-17T00:00:00+00:00,210.02,48068141,-0.0006661591168632773
211.79,209.7045,210.87,alpha_vantage,AAPL,2025-07-18T00:00:00+00:00,211.18,48974591,0.0055232834968098115
215.78,211.63,212.1,alpha_vantage,AAPL,2025-07-21T00:00:00+00:00,212.48,51377434,0.006155885974050492
214.95,212.2301,213.14,alpha_vantage,AAPL,2025-07-22T00:00:00+00:00,214.4,46404072,0.009036144578313329
215.15,212.41,215.0,alpha_vantage,AAPL,2025-07-23T00:00:00+00:00,214.15,46989301,-0.0011660447761194029
215.69,213.53,213.9,alpha_vantage,AAPL,2025-07-24T00:00:00+00:00,213.76,46022620,-0.0018211533971515983
215.24,213.4,214.7,alpha_vantage,AAPL,2025-07-25T00:00:00+00:00,213.88,40268781,0.0005613772455090034
214.845,213.06,214.03,alpha_vantage,AAPL,2025-07-28T00:00:00+00:00,214.05,37858017,0.0007948382270432762
214.81,210.82,214.175,alpha_vantage,AAPL,2025-07-29T00:00:00+00:00,211.27,51411723,-0.01298761971501986
212.39,207.72,211.895,alpha_vantage,AAPL,2025-07-30T00:00:00+00:00,209.05,45512514,-0.010507880910683007
209.84,207.16,208.49,alpha_vantage,AAPL,2025-07-31T00:00:00+00:00,207.57,80698431,-0.007079646017699202
213.58,201.5,210.865,alpha_vantage,AAPL,2025-08-01T00:00:00+00:00,202.38,104434473,-0.025003613238907346
207.88,201.675,204.505,alpha_vantage,AAPL,2025-08-04T00:00:00+00:00,203.35,75109298,0.004792963731594026
205.34,202.16,203.4,alpha_vantage,AAPL,2025-08-05T00:00:00+00:00,202.92,44155079,-0.002114580772067897
215.38,205.59,205.63,alpha_vantage,AAPL,2025-08-06T00:00:00+00:00,213.25,108483103,0.05090676128523563
220.85,216.58,218.875,alpha_vantage,AAPL,2025-08-07T00:00:00+00:00,220.03,90224834,0.0317936694021102
231.0,219.25,220.83,alpha_vantage,AAPL,2025-08-08T00:00:00+00:00,229.35,113853967,0.04235786029177836
229.56,224.76,227.92,alpha_vantage,AAPL,2025-08-11T00:00:00+00:00,227.18,61806132,-0.009461521691737465
230.8,227.07,228.005,alpha_vantage,AAPL,2025-08-12T00:00:00+00:00,229.65,55672301,0.010872435953869173
235.0,230.43,231.07,alpha_vantage,AAPL,2025-08-13T00:00:00+00:00,233.33,69878546,0.01602438493359463
235.12,230.85,234.055,alpha_vantage,AAPL,2025-08-14T00:00:00+00:00,232.78,51916275,-0.0023571765310933497
234.28,229.335,234.0,alpha_vantage,AAPL,2025-08-15T00:00:00+00:00,231.59,56038657,-0.005112123034624958
233.12,230.11,231.7,alpha_vantage,AAPL,2025-08-18T00:00:00+00:00,230.89,37476188,-0.00302258301308354
232.87,229.35,231.275,alpha_vantage,AAPL,2025-08-19T00:00:00+00:00,230.56,39402564,-0.001429252024773633
230.47,225.77,229.98,alpha_vantage,AAPL,2025-08-20T00:00:00+00:00,226.01,42263865,-0.019734559333796024
226.52,223.7804,226.27,alpha_vantage,AAPL,2025-08-21T00:00:00+00:00,224.9,30621249,-0.004911287111189705
229.09,225.41,226.17,alpha_vantage,AAPL,2025-08-22T00:00:00+00:00,227.76,42477811,0.012716763005780281
229.3,226.23,226.48,alpha_vantage,AAPL,2025-08-25T00:00:00+00:00,227.16,30983133,-0.0026343519494204178
229.49,224.69,226.87,alpha_vantage,AAPL,2025-08-26T00:00:00+00:00,229.31,54575107,0.009464694488466305
230.9,228.26,228.61,alpha_vantage,AAPL,2025-08-27T00:00:00+00:00,230.49,31259513,0.005145872399808149
233.41,229.335,230.82,alpha_vantage,AAPL,2025-08-28T00:00:00+00:00,232.56,38074700,0.008980866848887124
233.38,231.37,232.51,alpha_vantage,AAPL,2025-08-29T00:00:00+00:00,232.14,39418437,-0.0018059855521156516
230.85,226.97,229.25,alpha_vantage,AAPL,2025-09-02T00:00:00+00:00,229.72,44075638,-0.010424743689153044
238.85,234.36,237.21,alpha_vantage,AAPL,2025-09-03T00:00:00+00:00,238.47,66061716,0.03808984851123107
239.8999,236.74,238.45,alpha_vantage,AAPL,2025-09-04T00:00:00+00:00,239.78,47549429,0.00549335346165137
241.32,238.4901,239.995,alpha_vantage,AAPL,2025-09-05T00:00:00+00:00,239.69,54870397,-0.00037534406539329137
240.15,236.34,239.3,alpha_vantage,AAPL,2025-09-08T00:00:00+00:00,237.88,48999495,-0.007551420584922201
238.7805,233.36,237.0,alpha_vantage,AAPL,2025-09-09T00:00:00+00:00,234.35,66313918,-0.014839414831007236
232.42,225.95,232.185,alpha_vantage,AAPL,2025-09-10T00:00:00+00:00,226.79,83440810,-0.032259441007040764
230.45,226.65,226.875,alpha_vantage,AAPL,2025-09-11T00:00:00+00:00,230.03,50208578,0.01428634419507037
234.51,229.02,229.22,alpha_vantage,AAPL,2025-09-12T00:00:00+00:00,234.07,55824216,0.01756292657479456
238.19,235.03,237.0,alpha_vantage,AAPL,2025-09-15T00:00:00+00:00,236.7,42699524,0.011235955056179756
241.22,236.3235,237.175,alpha_vantage,AAPL,2025-09-16T00:00:00+00:00,238.15,63421099,0.006125897760878822
240.1,237.7301,238.97,alpha_vantage,AAPL,2025-09-17T00:00:00+00:00,238.99,46508017,0.003527188746588299
241.2,236.65,239.97,alpha_vantage,AAPL,2025-09-18T00:00:00+00:00,237.88,44249576,-0.004644545796895325
246.3,240.2106,241.225,alpha_vantage,AAPL,2025-09-19T00:00:00+00:00,245.5,163741314,0.03203295779384566
256.64,248.12,248.3,alpha_vantage,AAPL,2025-09-22T00:00:00+00:00,256.08,105517416,0.04309572301425656
257.34,253.58,255.875,alpha_vantage,AAPL,2025-09-23T00:00:00+00:00,254.43,60275187,-0.006443298969072076
255.74,251.04,255.22,alpha_vantage,AAPL,2025-09-24T00:00:00+00:00,252.31,42303710,-0.008332350744802125
257.17,251.712,253.205,alpha_vantage,AAPL,2025-09-25T00:00:00+00:00,256.87,55202075,0.018073005429828395
257.6,253.78,254.095,alpha_vantage,AAPL,2025-09-26T00:00:00+00:00,255.46,46076258,-0.0054891579398139
255.0,253.01,254.56,alpha_vantage,AAPL,2025-09-29T00:00:00+00:00,254.43,40127687,-0.004031942378454557
255.919,253.11,254.855,alpha_vantage,AAPL,2025-09-30T00:00:00+00:00,254.63,37627535,0.0007860708249812861
